"","name","mel.strain_f_ac","mel.strain_m_ac","mel.strain_f_dg","mel.strain_m_dg","mel.strain_f_ge","mel.strain_m_ge","mel.strain_f_go","mel.strain_m_go","mel.strain_f_hd","mel.strain_m_hd","mel.strain_f_re","mel.strain_m_re","mel.strain_f_tx","mel.strain_m_tx","mel.strain_f_wb","mel.strain_m_wb","yak_f_ac","yak_m_ac","yak_f_dg","yak_m_dg","yak_f_go","yak_m_go","yak_f_hd","yak_m_hd","yak_f_re","yak_m_re","yak_f_tx","yak_m_tx","yak_f_wb","yak_m_wb","ana_f_ac","ana_m_ac","ana_f_dg","ana_m_dg","ana_f_go","ana_m_go","ana_f_hd","ana_m_hd","ana_f_re","ana_m_re","ana_f_tx","ana_m_tx","ana_f_wb","ana_m_wb","pse_f_ac","pse_m_ac","pse_f_dg","pse_m_dg","pse_f_go","pse_m_go","pse_f_hd","pse_m_hd","pse_f_re","pse_m_re","pse_f_tx","pse_m_tx","pse_f_wb","pse_m_wb","per_f_ac","per_m_ac","per_f_dg","per_m_dg","per_f_go","per_m_go","per_f_hd","per_m_hd","per_f_re","per_m_re","per_f_tx","per_m_tx","per_f_wb","per_m_wb","wil_f_ac","wil_m_ac","wil_f_dg","wil_m_dg","wil_f_go","wil_m_go","wil_f_hd","wil_m_hd","wil_f_re","wil_m_re","wil_f_tx","wil_m_tx","wil_f_wb","wil_m_wb","moj_f_ac","moj_m_ac","moj_f_dg","moj_m_dg","moj_f_go","moj_m_go","moj_f_hd","moj_m_hd","moj_f_re","moj_m_re","moj_f_tx","moj_m_tx","moj_f_wb","moj_m_wb","vir_f_ac","vir_m_ac","vir_f_dg","vir_m_dg","vir_f_go","vir_m_go","vir_f_hd","vir_m_hd","vir_f_re","vir_m_re","vir_f_tx","vir_m_tx","vir_f_wb","vir_m_wb","name.1"
"1","Obp8a",1.56259218509102,3.07559901243572,0.592833588168965,0.445690403157584,5.77582809685485,4.57921348532711,0,0.157787635388311,4.4036994866591,4.9734075193822,5.56822105126688,8.04104818207594,4.47023298625882,4.7489409149465,2.52703013084826,5.05503936551631,2.43692011702091,0.477894638723103,0,0.311460987830846,0,0,5.25014749632496,4.56868182564228,1.14144975679516,3.2750102341552,4.56359161711883,3.71326753780781,1.14313679909234,2.0691088585029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.93497144623251,3.83267282512749,5.21260252474698,6.11503010515955,0.65173183605424,2.54150130672454,4.06350242789129,4.43941404516423,3.36556765577495,5.75063109423436,3.79261294151354,4.65116008211492,2.88456244500248,4.3202914564023,7.35664143256264,7.10969032397845,6.45524393018106,7.07559191118414,0.432468896698838,1.79614557073435,5.27231533305492,5.02047055802654,6.32979997155685,5.34803261165973,5.13197830127733,5.31573819828907,3.63923264956889,4.42365467809385,6.14182666919219,5.39087651196105,7.45618736249315,8.36460416702805,0,1.67775431829505,5.66517694906631,4.22504241726066,4.52296808627602,3.36585325705559,5.31235887326768,4.24865432939046,4.48901199340517,5.74053524208546,0.433522558562665,1.86735329295049,0,0.562814993230276,0,4.53773226077874,2.50839911380953,2.76383385127748,0.942068580949892,6.14274789924689,2.58563780106321,2.43319877431406,1.0593678530579,4.32855143567332,1.70691670794853,2.29441185693386,5.11960175695916,4.42966746467201,1.14441182152306,2.64439690968789,4.72481519739374,4.3014186127738,1.76650897993723,1.13066040646603,2.5456221457711,2.6480806356957,2.42174892770124,3.41836957249933,"Obp8a"
"2","Obp22a",0,0,0,0,0,0.155136463809853,0,0.220235125899977,0,0,0.55126039528455,11.3836869743492,0,0,0,7.28883229781214,0,0.258413782525961,0,2.27190015528219,0,0.962678379395117,0,0.292670706496086,0,10.4937811260291,0,0.720602324905987,0,5.32790110954222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Obp22a"
"3","Obp51a",0,0,0,0,0,0.627183400833197,0,0,0,0,0.535500486553123,11.4228172299755,0,0,0,7.80443300482424,0.410020345951191,1.32818953883185,0,4.17643494752001,0,3.65637783397564,0.197072348535945,1.2262396784426,0.20338192122701,13.7140223688774,0,0.823947979335276,0,6.93784651106618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Obp51a"
"4","Obp51a-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.42190112781301,0,2.93237075178242,0,3.02065633123402,0,0.511356854448816,0,12.3496421234185,1.73213121531741,2.42910451456362,0,6.00807849412623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Obp51a-2"
"5","Obp51a-3_Acp157a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.42191043419581,0,4.13026934947296,0,2.52339991920972,0,1.74834453129042,0.236946045864752,13.895490087374,0,1.95198916267994,0,7.23908778431252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Obp51a-3_Acp157a"
"6","Obp56e",2.5163682819603,0.650975513220701,1.64132002131214,3.9674725764711,7.2112204208825,6.7477511289307,0,1.18345116214361,9.89878605333858,6.40774931244653,0.348568741733024,9.05008180277843,3.30762171076856,2.30828353423325,6.65476181454922,5.62736230940043,1.95754544461892,2.13074636782557,0.285220533808282,1.73792637535194,0,3.88196021870103,12.0365079948027,10.4816310796583,3.9691535618764,11.5442027601918,5.49421569736008,6.14365302068004,8.54637713289536,6.72731708298969,4.23355335396591,6.7545327124214,4.57337101904696,5.73582054473009,0,2.82955957981217,13.7752893178063,13.4312742964638,7.71667800805951,11.2605442498908,10.3909853850656,10.9039297132982,10.2318867994134,10.7160189269173,0,1.73428781237684,0,0,0,0,11.1847334650811,6.50022363648277,0.289290576768169,0,1.2523916180828,0.282313895209952,6.70995500902943,3.56913849452018,0,0,0.239093545006346,0,0,0.6358691659728,9.90148461428275,7.79419004005015,0.30908209151362,0,3.40840011567715,3.5629009722027,5.20077172995884,4.62319841796719,10.5172512522345,13.603490235579,10.2123499594072,11.2496878002734,0.409065283072574,4.85121771863513,14.7224032981923,14.7391401033747,13.2330165498439,11.7417110741443,12.4535278096148,13.3629943413601,10.3327744827237,12.9640729362555,0,0,0,0,0,0,0.212292143940302,0,0,0,0,0,0,0,1.33982969362864,0.987072238918699,5.7395312413062,4.79822334720983,0.820571051608947,0,7.80362469919796,8.32827093255677,1.84456363854069,0,4.34487275727629,0.301230165219539,3.54367406012451,4.63178847374676,"Obp56e"
"7","Obp56e-1_Acp223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.258413782525961,0,0.914762164139935,0,0,0,0,0,8.60516750420447,0,0.343718318946765,0,3.76771333778338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Obp56e-1_Acp223"
"8","Obp56f",0,0,0.0988099826248796,0,0,0,0,0.792376240128899,0.700443543021251,0.102274806504587,0.367956840179939,10.8459908527872,0,0,0,7.00364094673034,0,0.512548196779644,0,1.56121919535248,0,0.458420038189791,0,0.568430748584232,0,9.90726766272432,0,0,0,4.84963671755766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Obp56f"
"9","Obp56g",0.2276743858759,2.49935853056113,0,1.23580705100306,1.22530695428008,4.49798630763516,0,1.65447475126973,9.59989985340877,9.65752741889655,3.00276974019986,15.8783507754126,6.60503884426784,7.65519592479825,6.24237953614185,12.0088367972203,0.840784065257092,4.30029804214731,0.226314073826535,3.43517550726914,0.153993139722797,3.87228563103629,9.27736625196289,9.25011022424442,0.801765542240446,15.7470320583167,6.49897630389501,7.34789802116672,6.13308974299879,9.56551305424739,0.541395900470113,5.57672037177932,2.10981065112439,2.32999100125656,0,2.41692354096434,10.038900975679,10.5063715233058,4.66421311940959,13.6818718222044,7.09240317873013,7.59817180695522,6.23023860179856,9.41063006071683,0.734187421586959,6.68896113584539,0,2.38974705104834,0,0.768288812766586,9.71670799429103,8.98283602423763,6.47743822881701,14.7466259846258,6.55578363561202,7.79665749717139,5.70685675856095,11.4736396369949,1.2264818663528,3.57969280929373,0,1.58811392937214,0,0.327859828690197,8.90392917143047,8.65350105340592,4.89135906374821,14.1198768385503,3.96905921765775,5.1227785292775,4.25214845642469,10.2136450262572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.795481386956541,1.48975755279731,1.32149624477247,0.482656390091706,0,0.21632734944562,11.2325844881643,11.6906197888583,1.37328817053692,0.589183437211617,8.22117671624344,8.34690349552739,7.6863619844177,8.57563207069608,1.73154345639367,0,0.525250723313433,0,0.164181199263161,0,12.3884577930203,12.3042042464705,0.58229066146616,0,10.4298509624121,10.6485773269597,7.6024672652704,8.88166958726139,"Obp56g"
"10","Obp56g-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.73449585536809,1.01674258174358,0,0,0,0.564073709209615,10.4908038619306,10.3407091038041,0.688109051450185,2.4298769810974,6.90939234901391,7.20184526794752,5.73501449889425,7.52161640930561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Obp56g-1"
"11","Obp56g-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.894855690015798,2.42908090433439,0,0.389135987442735,0.305932621219188,0.564073709209615,10.0566831007794,9.87005899495464,1.11038451011476,1.40679204234265,5.99265778571851,6.23114398013213,5.05577576593822,6.89012311852362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Obp56g-3"
"12","Obp56g-4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.97980520604068,0,0,0,0,6.59297268630611,6.77185447816007,0.459685572955619,0,3.66524031209905,4.29113373313033,1.9388296545343,3.6181106293093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Obp56g-4"
"13","Obp56g-5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.672603340876074,6.68262582888359,6.82717140524464,0.235575106504284,1.25129753149336,3.41804635808258,3.68957188965715,2.3499125383368,3.83087483268072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Obp56g-5"
"14","Obp56i",0,0,0,0,0,0.194498645839823,0,6.95349198927325,0,0,0,8.38501760160249,0,0,0,5.43043759308405,0,0,0,0.9290980249543,0,0,0,0.175241102074105,0,8.71884489289724,0,0.516470838281878,0,3.93964372211368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Obp56i"
