vial,male_geno,intro,start,done,notes,d_1,d_2,d_3,d_4,e_tot,mated_4,set,rep,lat,dur
1,NC175,12:09:00,13:32:00,13:55:00,,105,74,48,50,277,N,A1,1,1:23:00,0:23:00
2,NC123,12:13:00,14:45:00,15:01:00,,72,82,21,9,184,Y,A1,1,2:32:00,0:16:00
3,NC123/175,12:34:00,12:50:00,13:09:00,,60,58,39,11,168,Y,A1,1,0:16:00,0:19:00
4,NC123/175,12:34:00,12:43:00,13:00:00,,81,77,82,76,316,N,A1,1,0:09:00,0:17:00
6,NC175,12:09:00,16:49:00,17:09:00,,3,0,29,9,41,N,A1,1,4:40:00,0:20:00
7,NC175,12:09:00,18:56:00,19:14:00,,73,89,98,84,344,N,A1,1,6:47:00,0:18:00
8,NC141/175,12:27:00,12:53:00,13:12:00,,67,81,91,80,319,N,A1,1,0:26:00,0:19:00
10,NC141,12:22:00,13:25:00,13:48:00,,55,69,61,60,245,N,A1,1,1:03:00,0:23:00
11,NC123,12:13:00,12:24:00,12:51:00,,94,87,96,13,290,Y,A1,1,0:11:00,0:27:00
12,NC110/175,12:31:00,15:39:00,16:02:00,,77,89,77,68,311,N,A1,1,3:08:00,0:23:00
13,NC141/175,12:27:00,15:12:00,15:39:00,,63,69,63,51,246,N,A1,1,2:45:00,0:27:00
14,NC123/175,11:41:00,12:39:00,13:01:00,,61,82,82,77,302,N,A1,1,0:58:00,0:22:00
15,NC175,12:37:00,18:28:00,18:39:00,,66,98,90,80,334,Y,A1,1,5:51:00,0:11:00
16,NC175,12:10:00,15:45:00,16:07:00,,67,83,69,0,219,Y,A1,1,3:35:00,0:22:00
17,NC110/175,12:31:00,14:37:00,14:56:00,,75,82,79,73,309,N,A1,1,2:06:00,0:19:00
18,NC110,12:48:00,15:07:00,15:31:00,,87,85,84,70,326,N,A1,1,2:19:00,0:24:00
19,NC175,12:37:00,17:35:00,17:52:00,,64,82,80,54,280,N,A1,1,4:58:00,0:17:00
20,NC175,12:37:00,12:46:00,13:03:00,,85,83,85,79,332,N,A1,1,0:09:00,0:17:00
21,NC141,12:22:00,12:49:00,13:10:00,,46,0,1,3,50,Y,A1,1,0:27:00,0:21:00
22,NC110,12:48:00,13:19:00,13:40:00,,92,78,59,5,234,Y,A1,1,0:31:00,0:21:00
23,NC110,12:48:00,13:21:00,13:47:00,,85,89,74,60,308,N,A1,1,0:33:00,0:26:00
24,NC175,12:37:00,16:26:00,16:43:00,,94,80,80,80,334,N,A1,1,3:49:00,0:17:00
25,NC123/175,12:34:00,12:43:00,13:00:00,,98,83,80,72,333,N,A1,1,0:09:00,0:17:00
26,NC123/175,12:34:00,12:50:00,13:09:00,,80,94,85,69,328,N,A1,1,0:16:00,0:19:00
27,NC110,12:48:00,14:09:00,14:31:00,,59,56,55,43,213,N,A1,1,1:21:00,0:22:00
29,NC123/175,12:06:00,12:20:00,12:43:00,,50,42,68,58,218,N,A1,1,0:14:00,0:23:00
30,NC123,12:13:00,15:01:00,15:21:00,,12,0,1,0,13,N,A1,1,2:48:00,0:20:00
31,NC141,12:22:00,12:39:00,13:02:00,,77,83,89,35,284,Y,A1,1,0:17:00,0:23:00
32,NC141/175,11:58:00,15:01:00,15:17:00,,74,47,46,28,195,Y,A1,1,3:03:00,0:16:00
33,NC175,12:09:00,12:29:00,12:46:00,,67,58,52,51,228,N,A1,1,0:20:00,0:17:00
34,NC123,12:13:00,12:24:00,12:40:00,,33,2,15,34,84,N,A1,1,0:11:00,0:16:00
35,NC141,12:23:00,12:39:00,13:02:00,,75,53,45,39,212,N,A1,1,0:16:00,0:23:00
36,NC123/175,12:05:00,12:24:00,12:43:00,,85,93,86,66,330,N,A1,1,0:19:00,0:19:00
37,NC110/175,12:31:00,16:26:00,16:43:00,,66,87,70,63,286,N,A1,1,3:55:00,0:17:00
38,NC175,11:46:00,12:51:00,13:11:00,,83,86,13,0,182,Y,A1,1,1:05:00,0:20:00
39,NC141,12:23:00,16:02:00,16:16:00,,65,52,48,42,207,N,A1,1,3:39:00,0:14:00
40,NC175,11:46:00,13:12:00,13:33:00,,89,91,102,91,373,N,A1,1,1:26:00,0:21:00
42,NC141,12:23:00,17:15:00,17:35:00,,47,53,40,0,140,N,A1,1,4:52:00,0:20:00
43,NC110/175,12:31:00,12:50:00,13:08:00,,42,56,54,49,201,N,A1,1,0:19:00,0:18:00
44,NC110/175,12:02:00,13:39:00,14:02:00,,65,77,79,48,269,Y,A1,1,1:37:00,0:23:00
45,NC110,12:19:00,15:56:00,16:10:00,,68,71,82,73,294,N,A1,1,3:37:00,0:14:00
46,NC110/175,12:02:00,12:36:00,13:00:00,,30,37,45,48,160,N,A1,1,0:34:00,0:24:00
47,NC141,12:22:00,12:44:00,13:02:00,,63,83,89,37,272,Y,A1,1,0:22:00,0:18:00
48,NC123,12:13:00,12:33:00,12:51:00,,83,76,82,40,281,N,A1,1,0:20:00,0:18:00
49,NC123/175,12:05:00,18:10:00,18:33:00,,57,56,49,48,210,Y,A1,1,6:05:00,0:23:00
50,NC141/175,11:58:00,13:38:00,13:54:00,,58,77,78,60,273,N,A1,1,1:40:00,0:16:00
51,NC175,11:46:00,14:30:00,14:50:00,,69,86,87,33,275,Y,A1,1,2:44:00,0:20:00
52,NC123,12:13:00,14:22:00,14:42:00,,83,71,72,61,287,N,A1,1,2:09:00,0:20:00
53,NC123/175,12:05:00,14:02:00,14:24:00,,68,48,49,44,209,N,A1,1,1:57:00,0:22:00
55,NC175,11:46:00,17:40:00,18:06:00,,39,32,61,47,179,N,A1,1,5:54:00,0:26:00
56,NC175,11:46:00,16:54:00,17:15:00,,59,75,48,26,208,N,A1,1,5:08:00,0:21:00
57,NC123/175,11:05:00,18:56:00,19:09:00,,61,43,55,28,187,Y,A1,1,7:51:00,0:13:00
58,NC110/175,12:02:00,14:15:00,14:37:00,,14,75,68,71,228,N,A1,1,2:13:00,0:22:00
59,NC110,12:18:00,18:28:00,18:44:00,,2,0,0,0,2,Y,A1,1,6:10:00,0:16:00
61,NC123,12:14:00,12:29:00,12:45:00,,100,98,91,55,344,Y,A1,1,0:15:00,0:16:00
62,NC123,12:42:00,18:44:00,19:05:00,,56,79,77,58,270,N,A1,1,6:02:00,0:21:00
63,NC141/175,11:58:00,18:33:00,18:56:00,,80,97,108,81,366,N,A1,1,6:35:00,0:23:00
65,NC141/175,11:58:00,13:38:00,13:56:00,,83,74,90,30,277,N,A1,1,1:40:00,0:18:00
66,NC110,12:18:00,18:39:00,19:01:00,,60,83,86,77,306,N,A1,1,6:21:00,0:22:00
67,NC141/175,11:57:00,13:00:00,13:26:00,,71,85,102,73,331,N,A1,1,1:03:00,0:26:00
68,NC110/175,12:02:00,13:10:00,13:32:00,,76,81,75,65,297,N,A1,1,1:08:00,0:22:00
69,NC110,12:18:00,19:05:00,19:21:00,,62,81,92,73,308,N,A1,1,6:47:00,0:16:00
70,NC141,11:54:00,13:56:00,14:16:00,,107,66,7,26,206,N,A1,1,2:02:00,0:20:00
71,NC141,12:23:00,14:03:00,14:23:00,,88,91,85,79,343,N,A1,1,1:40:00,0:20:00
73,NC123/175,12:05:00,15:01:00,15:31:00,,57,85,87,78,307,N,A1,1,2:56:00,0:30:00
74,NC110/175,12:02:00,14:02:00,14:22:00,,85,91,72,46,294,N,A1,1,2:00:00,0:20:00
75,NC141/175,11:57:00,15:45:00,16:02:00,,84,50,0,0,134,Y,A1,1,3:48:00,0:17:00
76,NC110,12:18:00,18:44:00,19:01:00,,53,77,87,72,289,N,A1,1,6:26:00,0:17:00
77,NC141/175,11:57:00,12:19:00,12:44:00,,102,100,100,77,379,N,A1,1,0:22:00,0:25:00
78,NC123,12:41:00,15:01:00,15:21:00,,65,95,105,67,332,N,A1,1,2:20:00,0:20:00
79,NC110,12:18:00,18:06:00,18:21:00,,54,23,3,2,82,Y,A1,1,5:48:00,0:15:00
80,NC141/175,12:27:00,15:31:00,15:50:00,,65,74,80,71,290,N,A1,1,3:04:00,0:19:00
81,NC141,11:54:00,12:15:00,12:39:00,,86,89,21,7,203,Y,A1,1,0:21:00,0:24:00
83,NC141,11:54:00,15:07:00,15:31:00,,51,61,43,15,170,Y,A1,1,3:13:00,0:24:00
84,NC110,12:18:00,14:49:00,15:07:00,,63,55,53,16,187,Y,A1,1,2:31:00,0:18:00
85,NC141,11:53:00,13:10:00,13:25:00,,77,86,82,75,320,N,A1,1,1:17:00,0:15:00
86,NC141,11:54:00,15:31:00,15:50:00,,82,96,92,78,348,N,A1,1,3:37:00,0:19:00
87,NC175,11:45:00,11:55:00,12:14:00,,59,75,90,86,310,Y,A1,1,0:10:00,0:19:00
88,NC123,12:42:00,13:01:00,13:19:00,,85,80,22,11,198,Y,A1,1,0:19:00,0:18:00
89,NC141,11:54:00,12:39:00,13:02:00,,55,36,17,15,123,N,A1,1,0:45:00,0:23:00
90,NC110,12:18:00,17:15:00,17:40:00,,77,79,92,67,315,N,A1,1,4:57:00,0:25:00
91,NC123,12:41:00,13:09:00,13:19:00,,87,80,80,41,288,Y,A1,1,0:28:00,0:10:00
92,NC123/175,12:05:00,17:01:00,17:22:00,,62,31,28,30,151,N,A1,1,4:56:00,0:21:00
93,NC110,11:51:00,18:33:00,18:50:00,,56,52,49,45,202,N,A1,1,6:42:00,0:17:00
94,NC141/175,11:57:00,12:24:00,12:49:00,,65,61,58,22,206,N,A1,1,0:27:00,0:25:00
95,NC123/175,12:05:00,15:39:00,16:02:00,,65,58,55,58,236,N,A1,1,3:34:00,0:23:00
96,NC110/175,11:40:00,13:54:00,14:10:00,,77,91,107,68,343,N,A1,1,2:14:00,0:16:00
97,NC141,11:53:00,12:11:00,12:30:00,,68,88,100,78,334,N,A1,1,0:18:00,0:19:00
98,NC141/175,11:57:00,12:07:00,12:22:00,,67,83,81,67,298,N,A1,1,0:10:00,0:15:00
99,NC141,11:53:00,14:30:00,14:49:00,,65,54,48,43,210,N,A1,1,2:37:00,0:19:00
100,NC110,11:51:00,16:43:00,17:01:00,,0,0,2,8,10,Y,A1,1,4:52:00,0:18:00
101,NC141/175,11:57:00,12:11:00,12:32:00,,70,80,83,67,300,N,A1,1,0:14:00,0:21:00
102,NC110,11:50:00,18:15:00,18:33:00,,63,77,84,67,291,N,A1,1,6:25:00,0:18:00
103,NC123,12:41:00,13:39:00,14:03:00,,79,79,84,56,298,N,A1,1,0:58:00,0:24:00
104,NC123,12:41:00,13:47:00,14:09:00,,79,75,89,61,304,N,A1,1,1:06:00,0:22:00
105,NC123/175,11:42:00,13:09:00,13:33:00,,80,64,99,62,305,N,A1,1,1:27:00,0:24:00
106,NC123,12:41:00,12:51:00,13:11:00,,65,77,78,53,273,N,A1,1,0:10:00,0:20:00
107,NC110/175,11:40:00,16:07:00,16:26:00,,70,77,79,71,297,N,A1,1,4:27:00,0:19:00
108,NC141/175,11:57:00,13:08:00,13:26:00,,75,93,85,63,316,Y,A1,1,1:11:00,0:18:00
109,NC110/175,11:40:00,15:50:00,16:10:00,,40,39,30,31,140,N,A1,1,4:10:00,0:20:00
110,NC123,11:48:00,13:47:00,14:09:00,,70,87,71,74,302,N,A1,1,1:59:00,0:22:00
111,NC123/175,11:42:00,15:21:00,15:45:00,,55,65,70,67,257,N,A1,1,3:39:00,0:24:00
112,NC175,11:45:00,11:55:00,12:14:00,,29,24,29,30,112,N,A1,1,0:10:00,0:19:00
113,NC123/175,11:41:00,17:46:00,18:06:00,,68,74,84,81,307,N,A1,1,6:05:00,0:20:00
114,NC123/175,11:41:00,11:55:00,12:14:00,,79,37,20,1,137,Y,A1,1,0:14:00,0:19:00
116,NC110,11:50:00,17:52:00,18:06:00,,58,46,26,7,137,Y,A1,1,6:02:00,0:14:00
117,NC123,11:48:00,11:55:00,12:16:00,,82,75,74,67,298,N,A1,1,0:07:00,0:21:00
119,NC110/175,11:40:00,15:01:00,15:31:00,,81,75,80,67,303,N,A1,1,3:21:00,0:30:00
120,NC123/175,11:41:00,13:01:00,13:18:00,,53,51,59,61,224,N,A1,1,1:20:00,0:17:00
121,NC175,11:45:00,16:37:00,17:07:00,,54,61,51,58,224,N,A1,1,4:52:00,0:30:00
122,NC110,11:50:00,13:47:00,14:10:00,,79,71,63,49,262,N,A1,1,1:57:00,0:23:00
123,NC110/175,11:40:00,16:26:00,NA,,70,78,90,79,317,N,A1,1,4:46:00,NA
124,NC141/175,11:37:00,16:07:00,16:26:00,,62,37,81,45,225,N,A1,1,4:30:00,0:19:00
125,NC110/175,11:40:00,14:30:00,14:52:00,,39,37,40,49,165,N,A1,1,2:50:00,0:22:00
126,NC141/175,11:37:00,11:47:00,12:07:00,,77,71,88,69,305,N,A1,1,0:10:00,0:20:00
129,NC175,11:46:00,17:40:00,17:59:00,,70,86,87,77,320,N,A1,1,5:54:00,0:19:00
131,NC123,11:48:00,11:55:00,12:05:00,,79,66,60,73,278,N,A1,1,0:07:00,0:10:00
132,NC110/175,11:40:00,16:54:00,17:15:00,,74,80,84,79,317,N,A1,1,5:14:00,0:21:00
133,NC141,11:53:00,13:25:00,13:48:00,,87,88,96,76,347,N,A1,1,1:32:00,0:23:00
134,NC141/175,11:37:00,13:24:00,13:46:00,,66,59,88,74,287,N,A1,1,1:47:00,0:22:00
135,NC141/175,11:37:00,12:39:00,13:00:00,,46,45,45,33,169,N,A1,1,1:02:00,0:21:00
136,NC110/175,11:40:00,16:32:00,NA,,0,0,0,0,0,N,A1,1,4:52:00,NA
137,NC123,12:42:00,15:39:00,15:56:00,,72,75,80,78,305,N,A1,1,2:57:00,0:17:00
138,NC141,12:22:00,14:22:00,14:42:00,,86,80,75,70,311,N,A1,1,2:00:00,0:20:00
139,NC141/175,11:37:00,11:52:00,12:15:00,,79,78,66,74,297,N,A1,1,0:15:00,0:23:00
140,NC141/175,11:37:00,14:09:00,14:30:00,,62,60,74,56,252,N,A1,1,2:32:00,0:21:00
141,NC141/175,12:51:00,13:20:00,13:38:00,,55,47,45,8,155,N,A2,2,0:29:00,0:18:00
142,NC175,12:59:00,16:21:00,16:44:00,,66,88,85,47,286,N,A2,2,3:22:00,0:23:00
143,NC141,13:29:00,13:46:00,14:02:00,,52,58,59,26,195,Y,A2,2,0:17:00,0:16:00
144,NC175,12:59:00,13:10:00,13:22:00,,60,0,0,0,60,Y,A2,2,0:11:00,0:12:00
145,NC110/175,13:15:00,13:44:00,14:00:00,,69,77,72,28,246,Y,A2,2,0:29:00,0:16:00
146,NC141,13:29:00,14:32:00,14:55:00,,54,42,75,48,219,N,A2,2,1:03:00,0:23:00
147,NC141,13:29:00,13:55:00,14:09:00,,65,83,96,80,324,N,A2,2,0:26:00,0:14:00
148,NC110/175,13:15:00,14:07:00,14:26:00,,83,85,96,73,337,N,A2,2,0:52:00,0:19:00
149,NC141/175,12:51:00,15:37:00,15:56:00,,76,70,74,54,274,N,A2,2,2:46:00,0:19:00
150,NC175,12:59:00,15:18:00,15:38:00,,80,96,90,39,305,N,A2,2,2:19:00,0:20:00
151,NC141/175,12:51:00,14:47:00,15:11:00,,95,82,95,71,343,N,A2,2,1:56:00,0:24:00
152,NC110,13:24:00,16:27:00,16:44:00,,61,84,26,1,172,Y,A2,2,3:03:00,0:17:00
153,NC110/175,13:15:00,14:39:00,14:55:00,,69,7,0,0,76,N,A2,2,1:24:00,0:16:00
154,NC110,13:24:00,14:08:00,14:25:00,,79,81,85,75,320,Y,A2,2,0:44:00,0:17:00
155,NC110,13:24:00,15:43:00,15:56:00,,69,46,75,54,244,N,A2,2,2:19:00,0:13:00
156,NC110,13:24:00,16:57:00,17:14:00,,59,54,53,52,218,N,A2,2,3:33:00,0:17:00
157,NC141,13:29:00,14:17:00,14:32:00,,76,79,86,73,314,N,A2,2,0:48:00,0:15:00
158,NC141,13:08:00,13:46:00,13:57:00,,67,82,83,74,306,N,A2,2,0:38:00,0:11:00
159,NC141,13:08:00,13:37:00,13:55:00,,85,77,51,0,213,Y,A2,2,0:29:00,0:18:00
160,NC110/175,13:15:00,13:44:00,14:00:00,,80,95,76,65,316,N,A2,2,0:29:00,0:16:00
161,NC141,13:08:00,13:14:00,13:29:00,,76,60,69,11,216,N,A2,2,0:06:00,0:15:00
162,NC141/175,12:51:00,14:15:00,14:31:00,,73,85,91,69,318,N,A2,2,1:24:00,0:16:00
163,NC175,13:19:00,13:36:00,13:53:00,,81,67,75,49,272,Y,A2,2,0:17:00,0:17:00
164,NC110/175,13:15:00,16:44:00,16:57:00,,56,31,48,46,181,N,A2,2,3:29:00,0:13:00
165,NC110/175,13:15:00,14:24:00,14:47:00,,46,42,55,57,200,N,A2,2,1:09:00,0:23:00
166,NC110/175,13:15:00,13:36:00,13:53:00,,78,73,84,79,314,N,A2,2,0:21:00,0:17:00
167,NC141,13:08:00,13:16:00,13:37:00,,77,79,86,73,315,N,A2,2,0:08:00,0:21:00
168,NC110/175,12:55:00,14:24:00,14:40:00,,75,72,84,24,255,Y,A2,2,1:29:00,0:16:00
169,NC110/175,12:55:00,14:39:00,14:54:00,,33,48,36,35,152,N,A2,2,1:44:00,0:15:00
170,NC110/175,12:55:00,17:28:00,17:45:00,,64,89,29,43,225,N,A2,2,4:33:00,0:17:00
171,NC175,13:19:00,13:36:00,13:54:00,,72,75,73,61,281,N,A2,2,0:17:00,0:18:00
172,NC141/175,12:51:00,15:49:00,16:08:00,,64,68,63,66,261,N,A2,2,2:58:00,0:19:00
173,NC175,13:19:00,16:57:00,17:19:00,,74,70,36,17,197,Y,A2,2,3:38:00,0:22:00
174,NC110/175,12:55:00,13:43:00,14:07:00,,88,87,95,75,345,N,A2,2,0:48:00,0:24:00
175,NC141/175,13:12:00,13:21:00,13:35:00,,74,94,96,48,312,N,A2,2,0:09:00,0:14:00
176,NC175,13:19:00,13:44:00,13:56:00,,84,89,66,48,287,N,A2,2,0:25:00,0:12:00
177,NC110,13:04:00,15:49:00,16:03:00,,64,46,45,38,193,N,A2,2,2:45:00,0:14:00
178,NC110,13:04:00,13:45:00,14:02:00,,82,83,98,75,338,N,A2,2,0:41:00,0:17:00
179,NC110,13:04:00,16:27:00,16:44:00,,78,100,86,78,342,N,A2,2,3:23:00,0:17:00
180,NC110/175,12:55:00,13:44:00,14:00:00,,79,87,88,62,316,N,A2,2,0:49:00,0:16:00
181,NC175,12:59:00,13:27:00,13:44:00,,51,32,22,26,131,N,A2,2,0:28:00,0:17:00
182,NC110/175,12:55:00,13:22:00,13:44:00,,75,88,80,47,290,Y,A2,2,0:27:00,0:22:00
183,NC110,13:04:00,14:16:00,14:32:00,,0,17,24,27,68,Y,A2,2,1:12:00,0:16:00
184,NC110/175,12:55:00,14:24:00,14:40:00,,78,77,82,64,301,Y,A2,2,1:29:00,0:16:00
185,NC110,13:04:00,14:49:00,15:01:00,,70,45,7,0,122,Y,A2,2,1:45:00,0:12:00
186,NC110,13:04:00,14:32:00,14:48:00,,0,0,0,24,24,N,A2,2,1:28:00,0:16:00
187,NC110/175,12:55:00,15:24:00,15:43:00,,47,52,52,45,196,N,A2,2,2:29:00,0:19:00
188,NC110/175,12:36:00,15:43:00,15:57:00,,55,74,74,67,270,N,A2,2,3:07:00,0:14:00
189,NC141/175,13:12:00,13:26:00,13:47:00,,51,37,43,34,165,Y,A2,2,0:14:00,0:21:00
190,NC141,12:47:00,15:56:00,16:14:00,,65,78,0,0,143,N,A2,2,3:09:00,0:18:00
191,NC175,12:39:00,15:18:00,15:43:00,,73,82,98,74,327,N,A2,2,2:39:00,0:25:00
192,NC110/175,12:36:00,14:39:00,14:55:00,,88,97,105,86,376,N,A2,2,2:03:00,0:16:00
193,NC110/175,12:36:00,12:56:00,13:16:00,,91,92,41,45,269,Y,A2,2,0:20:00,0:20:00
194,NC175,12:59:00,13:30:00,13:45:00,,0,0,0,0,0,Y,A2,2,0:31:00,0:15:00
195,NC175,12:59:00,13:04:00,13:22:00,,88,84,90,36,298,Y,A2,2,0:05:00,0:18:00
196,NC141,12:47:00,16:38:00,16:57:00,,68,74,65,63,270,N,A2,2,3:51:00,0:19:00
197,NC110,13:04:00,13:55:00,14:08:00,,45,49,55,24,173,N,A2,2,0:51:00,0:13:00
198,NC141/175,13:12:00,15:56:00,16:14:00,,78,75,77,57,287,N,A2,2,2:44:00,0:18:00
199,NC110/175,12:36:00,13:20:00,13:45:00,,28,20,43,12,103,N,A2,2,0:44:00,0:25:00
200,NC141/175,12:33:00,13:36:00,13:53:00,,71,63,70,60,264,N,A2,2,1:03:00,0:17:00
201,NC141/175,12:33:00,13:20:00,13:43:00,,64,48,58,48,218,N,A2,2,0:47:00,0:23:00
202,NC175,12:39:00,15:01:00,15:18:00,,84,86,14,47,231,Y,A2,2,2:22:00,0:17:00
203,NC141/175,12:33:00,16:14:00,16:32:00,,0,0,0,8,8,Y,A2,2,3:41:00,0:18:00
204,NC141,12:47:00,16:27:00,16:44:00,,0,0,0,0,0,Y,A2,2,3:40:00,0:17:00
205,NC141/175,12:33:00,14:07:00,14:31:00,,80,83,77,75,315,N,A2,2,1:34:00,0:24:00
206,NC141/175,12:33:00,13:04:00,13:22:00,,53,29,37,6,125,N,A2,2,0:31:00,0:18:00
207,NC141/175,12:33:00,17:19:00,17:35:00,,75,81,83,64,303,N,A2,2,4:46:00,0:16:00
208,NC110,12:43:00,14:55:00,15:11:00,,61,92,26,0,179,N,A2,2,2:12:00,0:16:00
209,NC141/175,12:33:00,12:43:00,13:04:00,,87,77,83,77,324,N,A2,2,0:10:00,0:21:00
210,NC175,12:39:00,14:55:00,15:12:00,,69,94,99,52,314,N,A2,2,2:16:00,0:17:00
211,NC141,12:47:00,15:24:00,15:37:00,,59,66,91,76,292,N,A2,2,2:37:00,0:13:00
212,NC141,12:47:00,14:46:00,15:05:00,,65,72,72,49,258,Y,A2,2,1:59:00,0:19:00
213,NC141,13:08:00,15:01:00,15:18:00,,87,96,93,73,349,N,A2,2,1:53:00,0:17:00
214,NC175,12:59:00,13:27:00,13:45:00,,73,85,92,75,325,N,A2,2,0:28:00,0:18:00
215,NC110/175,12:36:00,14:55:00,15:06:00,,73,79,58,63,273,N,A2,2,2:19:00,0:11:00
216,NC110,12:43:00,14:55:00,15:12:00,,37,99,105,82,323,N,A2,2,2:12:00,0:17:00
217,NC175,12:59:00,13:56:00,14:17:00,,64,62,78,53,257,N,A2,2,0:57:00,0:21:00
218,NC110,12:43:00,16:51:00,17:04:00,,95,74,63,50,282,N,A2,2,4:08:00,0:13:00
219,NC141,12:47:00,12:56:00,13:13:00,,64,67,62,46,239,Y,A2,2,0:09:00,0:17:00
220,NC175,12:39:00,15:12:00,15:30:00,,81,92,81,70,324,N,A2,2,2:33:00,0:18:00
221,NC110/175,12:36:00,14:25:00,14:47:00,,74,68,78,66,286,N,A2,2,1:49:00,0:22:00
222,NC110,12:43:00,14:25:00,14:40:00,,80,83,76,37,276,Y,A2,2,1:42:00,0:15:00
223,NC141,13:08:00,15:56:00,16:14:00,,84,99,91,51,325,Y,A2,2,2:48:00,0:18:00
224,NC141,13:08:00,14:55:00,15:11:00,,59,73,62,46,240,N,A2,2,1:47:00,0:16:00
225,NC141,13:08:00,13:22:00,13:37:00,,38,46,44,36,164,N,A2,2,0:14:00,0:15:00
226,NC141/175,12:33:00,12:43:00,13:01:00,,55,89,66,35,245,N,A2,2,0:10:00,0:18:00
227,NC141,12:47:00,13:53:00,14:15:00,,72,53,77,52,254,N,A2,2,1:06:00,0:22:00
228,NC141,12:47:00,15:18:00,15:31:00,,64,83,93,79,319,N,A2,2,2:31:00,0:13:00
229,NC141/175,12:51:00,13:54:00,14:16:00,,77,89,99,66,331,N,A2,2,1:03:00,0:22:00
230,NC141/175,12:33:00,14:06:00,14:31:00,,74,86,95,67,322,N,A2,2,1:33:00,0:25:00
231,NC110,12:43:00,15:37:00,15:49:00,,80,102,103,85,370,N,A2,2,2:54:00,0:12:00
232,NC110/175,12:36:00,13:00:00,13:23:00,,77,88,86,63,314,N,A2,2,0:24:00,0:23:00
233,NC141/175,12:51:00,13:05:00,13:23:00,,81,30,46,32,189,N,A2,2,0:14:00,0:18:00
234,NC175,12:39:00,13:54:00,14:16:00,,86,61,71,70,288,N,A2,2,1:15:00,0:22:00
235,NC175,12:39:00,16:32:00,16:51:00,,72,62,70,50,254,N,A2,2,3:53:00,0:19:00
236,NC141/175,12:51:00,13:10:00,13:23:00,,91,83,92,66,332,N,A2,2,0:19:00,0:13:00
237,NC175,12:39:00,13:54:00,14:07:00,,64,79,83,78,304,N,A2,2,1:15:00,0:13:00
238,NC141/175,12:51:00,13:10:00,13:23:00,,96,57,94,75,322,N,A2,2,0:19:00,0:13:00
239,NC141,12:47:00,12:51:00,13:05:00,,41,67,83,68,259,N,A2,2,0:04:00,0:14:00
240,NC141/175,12:51:00,13:04:00,13:19:00,,98,67,87,55,307,N,A2,2,0:13:00,0:15:00
241,NC110,12:43:00,14:39:00,14:55:00,,60,70,68,45,243,N,A2,2,1:56:00,0:16:00
242,NC110,12:43:00,15:18:00,15:30:00,,49,57,50,53,209,N,A2,2,2:35:00,0:12:00
243,NC175,12:39:00,14:24:00,14:41:00,,83,83,106,62,334,N,A2,2,1:45:00,0:17:00
244,NC110,12:43:00,14:16:00,14:32:00,,98,82,101,76,357,N,A2,2,1:33:00,0:16:00
245,NC141,12:47:00,13:00:00,13:19:00,,83,82,87,37,289,N,A2,2,0:13:00,0:19:00
246,NC141,12:47:00,14:31:00,14:46:00,,56,38,54,37,185,N,A2,2,1:44:00,0:15:00
247,NC123/175,1:32:00,14:30:00,14:49:00,,78,67,65,25,235,N,B1,1,12:58:00,0:19:00
248,NC182,13:53:00,14:08:00,14:23:00,,71,48,59,46,224,N,B1,1,0:15:00,0:15:00
